lokal,naslov,city,cena,cena_old,doplacilo,doplacilo_old,lat,lon,posid,detailslink,sort-group,cena_diff,doplacilo_diff,cena_diff_percent,doplacilo_diff_percent
GURMANSKI HRAM,Zagrebška cesta 92,MARIBOR,7.2,5.9,3.7,3.08,46.5265465,15.6692877,1188,/sl/restaurant/Details/1188,71,1.2999999999999998,0.6200000000000001,22.033898305084744,20.129870129870135
GURMANSKI HRAM - DOSTAVA,Zagrebška cesta 92,MARIBOR,7.2,6.0,3.7,3.18,46.5265465,15.6692877,1189,/sl/restaurant/Details/1189,71,1.2000000000000002,0.52,20.000000000000004,16.352201257861633
HALO HONG KONG - DOSTAVA,Litijska 28,LJUBLJANA,9.0,6.99,5.5,4.17,46.0477612,14.5417869,3168,/sl/restaurant/Details/3168,72,2.01,1.33,28.75536480686695,31.894484412470025
,,,,7.0,,4.18,,,2525,,,,,,
HALO PINKI,Pod ježami 14,LJUBLJANA,9.0,6.49,5.5,3.67,46.0579279,14.5285728,2778,/sl/restaurant/Details/2778,72,2.51,1.83,38.6748844375963,49.86376021798365
HALO SHAOLIN - DOSTAVA,Hacquetova 5,LJUBLJANA,9.0,6.99,5.5,4.17,46.0606245,14.5146389,2519,/sl/restaurant/Details/2519,72,2.01,1.33,28.75536480686695,31.894484412470025
,,,,4.99,,2.17,,,2977,,,,,,
HIŠA POD GRADOM,Streliška ulica 10,LJUBLJANA,9.0,7.0,5.5,4.18,46.0493959,14.5112233,2668,/sl/restaurant/Details/2668,72,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
HIT WOK,Čopova 4,LJUBLJANA,9.0,6.19,5.5,3.37,46.0518465,14.5052867,2430,/sl/restaurant/Details/2430,72,2.8099999999999996,2.13,45.395799676898214,63.20474777448071
HITRA HRANA MARTINA KRPANA,Šegova ulica 112,NOVO MESTO,5.5,4.7,2.0,1.88,45.7946897,15.1591167,2735,/sl/restaurant/Details/2735,72,0.7999999999999998,0.1200000000000001,17.021276595744677,6.382978723404261
,,,,5.99,,3.17,,,3057,,,,,,
HOT HORSE - BTC,Šmartinska cesta 152,LJUBLJANA,8.6,6.69,5.1,3.87,46.0693078,14.5484774,2358,/sl/restaurant/Details/2358,72,1.9099999999999993,1.2299999999999995,28.550074738415532,31.782945736434097
HOT HORSE - TIVOLI,Celovška cesta 25,LJUBLJANA,8.6,6.69,5.1,3.87,46.0599532,14.4952876,2359,/sl/restaurant/Details/2359,72,1.9099999999999993,1.2299999999999995,28.550074738415532,31.782945736434097
,,,,6.19,,3.37,,,1145,,,,,,
HOTSPOT BAR&BISTRO,Kardeljeva ploščad 17,LJUBLJANA,8.2,6.43,4.7,3.61,46.074054,14.516428,2846,/sl/restaurant/Details/2846,72,1.7699999999999996,1.0900000000000003,27.52721617418351,30.193905817174528
